group_type,group_name,num_images,dino_layer,segformer_stage,cka_mean,ssm_mean
condition,night,1006,21,stage4,0.619453188557748,0.5591342630194386
condition,night,1006,22,stage1,0.4460828247707833,0.4852970407212942
condition,night,1006,22,stage2,0.44964499756782716,0.5847219242075565
condition,night,1006,22,stage3,0.605741286491068,0.6528761869159417
condition,night,1006,22,stage4,0.6129575621477416,0.5641135219965967
condition,night,1006,23,stage1,0.4550788553642705,0.5027683378450913
condition,night,1006,23,stage2,0.45436859489316733,0.5924203643504953
condition,night,1006,23,stage3,0.6148797220904121,0.6715033020579791
condition,night,1006,23,stage4,0.6223644140226466,0.5840439706389046
condition,night,1006,24,stage1,0.46237529295813257,0.4270041624961743
condition,night,1006,24,stage2,0.4386094378429663,0.4323211467526779
condition,night,1006,24,stage3,0.6514923045222849,0.6128611768157061
condition,night,1006,24,stage4,0.6911057368898487,0.6519201014553814
condition,rain,1000,1,stage1,0.6636102154552936,0.6373917456269265
condition,rain,1000,1,stage2,0.5346024214923382,0.5182126000821591
condition,rain,1000,1,stage3,0.3788160159662366,0.34353781598899513
condition,rain,1000,1,stage4,0.5211741052791476,0.40128023468353785
condition,rain,1000,2,stage1,0.6939197049438953,0.6283873395323754
condition,rain,1000,2,stage2,0.5657525898814202,0.5101421663612127
condition,rain,1000,2,stage3,0.3843565589115024,0.33921031549945474
condition,rain,1000,2,stage4,0.5174980414137245,0.4041557751726359
condition,rain,1000,3,stage1,0.7013517935872078,0.6651189557611942
condition,rain,1000,3,stage2,0.5784476370513439,0.55225387814641
condition,rain,1000,3,stage3,0.39177801559865477,0.37475807283073664
condition,rain,1000,3,stage4,0.5242603683620691,0.4334276801459491
condition,rain,1000,4,stage1,0.7114669851958751,0.7074824291169644
condition,rain,1000,4,stage2,0.588199374049902,0.6010830439627171
condition,rain,1000,4,stage3,0.39672817255556586,0.4073748067840934
condition,rain,1000,4,stage4,0.5289016695916653,0.453551968944259
condition,rain,1000,5,stage1,0.7532052358984948,0.7530709074735642
condition,rain,1000,5,stage2,0.6285222968757153,0.6541683451533318
condition,rain,1000,5,stage3,0.4143434669226408,0.4509938736855984
condition,rain,1000,5,stage4,0.5394529612511396,0.4872210102789104
condition,rain,1000,6,stage1,0.7732922886013984,0.7788818964362144
condition,rain,1000,6,stage2,0.6444757051765919,0.6795846463143825
condition,rain,1000,6,stage3,0.4184460924416781,0.4473004579991102
condition,rain,1000,6,stage4,0.5405580929666758,0.47081247916445135
condition,rain,1000,7,stage1,0.7785840054154396,0.7803761121630669
condition,rain,1000,7,stage2,0.6659223008751869,0.7025884202122689
condition,rain,1000,7,stage3,0.4313388845473528,0.47751111643016336
condition,rain,1000,7,stage4,0.5402838760763407,0.48958163906633856
condition,rain,1000,8,stage1,0.7520258107185364,0.7607477859854698
condition,rain,1000,8,stage2,0.6658245659768581,0.7103182462453842
condition,rain,1000,8,stage3,0.4778443873524666,0.5347492875158787
condition,rain,1000,8,stage4,0.6243331964015961,0.5917918408215046
condition,rain,1000,9,stage1,0.7187464089393616,0.7170344497263431
condition,rain,1000,9,stage2,0.6575175958573818,0.6813998710513115
condition,rain,1000,9,stage3,0.5055296794772148,0.560760189473629
condition,rain,1000,9,stage4,0.6547308051288128,0.6273527193367481
condition,rain,1000,10,stage1,0.740807519376278,0.7502689190506935
condition,rain,1000,10,stage2,0.6830061365365983,0.7348727307915688
condition,rain,1000,10,stage3,0.5226569980680943,0.6146287395060063
condition,rain,1000,10,stage4,0.6576959719657898,0.6527256553173065
condition,rain,1000,11,stage1,0.7256843922138214,0.7325908518731594
condition,rain,1000,11,stage2,0.6798864912390709,0.7338084918260575
condition,rain,1000,11,stage3,0.535203656733036,0.6438324500322342
condition,rain,1000,11,stage4,0.6502672930657863,0.65742310115695
